chave_estavel,codigo,codigo_original,descricao,ordem,tipo,folha_mensuravel
ec15fdae-5072-553d-abe8-b66cb0752c76,UFCA:i0001,i0001,"TELHAMENTO COM TELHA METÁLICA TERMOISOLANTE REVESTIDA EM ACO GALVALUME, FACE SUPERIOR TRAPEZOIDAL, NÚCLEO EM POLIISOCIANURATO (PIR), E = 50 MM, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO, ACESSÓRIOS E FIXAÇÃO",70,item,True
d9e38f8b-d9e5-5335-a4e4-d062fc9abff7,SINAPI:94213,94213,"TELHAMENTO COM TELHA DE AÇO/ALUMÍNIO E = 0,5 MM, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO. AF_07/2019",71,item,True
b0e58d46-30ab-5d86-900c-29d85702a129,SINAPI:94229,94229,"CALHA EM CHAPA DE AÇO GALVANIZADO NÚMERO 24, DESENVOLVIMENTO DE 100 CM, INCLUSO TRANSPORTE VERTICAL. AF_07/2019",72,item,True
597d4a55-f700-5b7b-b2b1-06ab2d5a77fe,SINAPI:92606,92606,"FABRICAÇÃO E INSTALAÇÃO DE TESOURA INTEIRA EM AÇO, VÃO DE 5 M, PARA TELHA ONDULADA DE FIBROCIMENTO, METÁLICA, PLÁSTICA OU TERMOACÚSTICA, INCLUSO IÇAMENTO. AF_07/2019",73,item,True
184ffc67-b5d7-51c0-91da-ec18f30cd003,,,ESTRUTURAS DE CONCRETO ARMADO,74,grupo,False
c28bebf3-9059-5e71-aac0-2231bdd2b731,SINAPI:94965,94965,"CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",75,item,True
f8eccf4e-e6a0-59a4-bff4-db296c75e5b3,SINAPI:103670,103670,"LANÇAMENTO COM USO DE BALDES, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_02/2022",76,item,True
dcab0eaa-8de8-519d-a941-fa43a8e2c679,SINAPI:92443,92443,"MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",77,item,True
56993880-8e7a-5d05-bdce-bf6792a088fa,SINAPI:92480,92480,"MONTAGEM E DESMONTAGEM DE FÔRMA DE VIGA, ESCORAMENTO METÁLICO, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",78,item,True
d1db6d51-4d41-5013-a4eb-75e6c40a4d9f,SINAPI:92522,92522,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 8 UTILIZAÇÕES. AF_09/2020",79,item,True
c909754c-0a3d-5547-bc05-7b0b92c2babc,SINAPI:92526,92526,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 10 UTILIZAÇÕES. AF_09/2020",80,item,True
98510efe-95e3-5376-b00a-cb2a0bb999be,SINAPI:103672,103672,"CONCRETAGEM DE PILARES, FCK = 25 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",81,item,True
84d9f9c9-c801-5f6d-8ca4-5e8b9850db24,SINAPI:103675,103675,"CONCRETAGEM DE VIGAS E LAJES, FCK=25 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",82,item,True
a67a5b4c-e4cf-5a71-8087-5b0fc895d2be,SINAPI:92759,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",83,item,True
f264a633-8763-55e7-9611-ac49b72710ce,SINAPI:92760,92760,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",84,item,True
33960ef7-64d5-5066-9230-988832a75cc5,SINAPI:92761,92761,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",85,item,True
f977798a-a7f0-5b73-968f-761a65615813,SINAPI:92762,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",86,item,True
8d3aafa9-d710-5f05-88a7-7b2488a16821,SINAPI:92763,92763,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",87,item,True
e63c59f1-d330-5c90-b806-8e909293beb6,SINAPI:92764,92764,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 16,0 MM - MONTAGEM. AF_06/2022",88,item,True
994005d9-e6be-5f7c-b83e-a6f4e1a774e6,SINAPI:92765,92765,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 20,0 MM - MONTAGEM. AF_06/2022",89,item,True
f0b18cd7-04f5-575f-934f-b81969a7ee24,SINAPI:92768,92768,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",90,item,True
041c0a18-ebdf-5d02-8e59-f8376187d6da,SINAPI:92769,92769,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",91,item,True
c076925a-1c6f-58bf-96a2-7f5ac763317f,SINAPI:92770,92770,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",92,item,True
c185bd85-22d6-5693-b968-a1b63aadaf8e,UFCA:B0029,B0029,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,93,item,True
36b19316-3a3d-5aaf-9be2-f21d5f233d30,SINAPI:101963,101963,"LAJE PRÉ-MOLDADA UNIDIRECIONAL, BIAPOIADA, PARA PISO, ENCHIMENTO EM CERÂMICA, VIGOTA CONVENCIONAL, ALTURA TOTAL DA LAJE (ENCHIMENTO+CAPA) = (8+4). AF_11/2020_PA",94,item,True
