,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,2464239","23,37","29,12"
Composição Auxiliar, 88628 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0847000","486,40","41,19"
Composição Auxiliar, 89995 ,SINAPI,GRAUTEAMENTO DE CINTA SUPERIOR OU DE VERGA EM ALVENARIA ESTRUTURAL. AF_09/2021,Graute e Armação,,m³,"0,0200000","923,33","18,46"
Composição Auxiliar, 89998 ,SINAPI,"ARMAÇÃO DE CINTA DE ALVENARIA ESTRUTURAL; DIÂMETRO DE 10,0 MM. AF_09/2021",Graute e Armação,,KG,"1,9127000","9,27","17,73"
Composição Auxiliar, 94970 ,SINAPI,"CONCRETO FCK = 20MPA, TRAÇO 1:2,7:3 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 600 L. AF_05/2021",Produção de Concreto,,m³,"0,0896000","406,99","36,46"
Composição Auxiliar, 96536 ,SINAPI,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024","Fundações Rasas (Blocos, Sapatas, Vigas Baldrame)",,m²,"0,6200000","70,74","43,85"
Insumo, 00002692 ,SINAPI,"DESMOLDANTE PROTETOR PARA FORMAS DE MADEIRA, DE BASE OLEOSA EMULSIONADA EM AGUA",Material,,L,"0,0066000","7,96","0,05"
Insumo, 00004491 ,SINAPI,"PONTALETE *7,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,5382000","9,17","4,93"
Insumo, 00004517 ,SINAPI,"SARRAFO *2,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,1443000","3,21","0,46"
Insumo, 00005069 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 17 X 27 (2 1/2 X 11),Material,,KG,"0,0152000","11,14","0,16"
Insumo, 00007258 ,SINAPI,TIJOLO CERAMICO MACICO COMUM DE *5 X 10 X 20* CM (L X A X C),Material,,UN,"97,3869000","0,46","44,79"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.1.3 ,,,CAIXAS,,,,,,
 18.1.3.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 99253 ,SINAPI,"CAIXA ENTERRADA HIDRÁULICA RETANGULAR EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, DIMENSÕES INTERNAS: 0,6X0,6X0,6 M PARA REDE DE DRENAGEM. AF_12/2020",Caixas Enterradas,,UN,"1,0000000","449,39","449,39"
Composição Auxiliar, 101616 ,SINAPI,"PREPARO DE FUNDO DE VALA COM LARGURA MENOR QUE 1,5 M (ACERTO DO SOLO NATURAL). AF_08/2020",Escoramento e Preparo de Fundo de Valas,,m²,"0,8100000","6,80","5,50"
Composição Auxiliar, 5678 ,SINAPI,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0087000","130,38","1,13"
Composição Auxiliar, 5679 ,SINAPI,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0178000","59,48","1,05"
Composição Auxiliar, 87316 ,SINAPI,"ARGAMASSA TRAÇO 1:4 (EM VOLUME DE CIMENTO E AREIA GROSSA ÚMIDA) PARA CHAPISCO CONVENCIONAL, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0148000","435,01","6,43"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"3,6451771","29,21","106,47"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"2,8641084","23,37","66,93"
Composição Auxiliar, 88628 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,1156000","486,40","56,22"
Composição Auxiliar, 94970 ,SINAPI,"CONCRETO FCK = 20MPA, TRAÇO 1:2,7:3 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 600 L. AF_05/2021",Produção de Concreto,,m³,"0,0744000","406,99","30,28"
Composição Auxiliar, 97735 ,SINAPI,"PEÇA RETANGULAR PRÉ-MOLDADA, VOLUME DE CONCRETO DE 30 A 100 LITROS, TAXA DE AÇO APROXIMADA DE 30KG/M³. AF_03/2024",Estruturas Pré-Fabricadas e Pré-Moldadas,,m³,"0,0448000","2.362,25","105,82"
Insumo, 00002692 ,SINAPI,"DESMOLDANTE PROTETOR PARA FORMAS DE MADEIRA, DE BASE OLEOSA EMULSIONADA EM AGUA",Material,,L,"0,0054000","7,96","0,04"
Insumo, 00004491 ,SINAPI,"PONTALETE *7,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,1184000","9,17","1,08"
Insumo, 00004517 ,SINAPI,"SARRAFO *2,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,1408000","3,21","0,45"
Insumo, 00005069 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 17 X 27 (2 1/2 X 11),Material,,KG,"0,0125000","11,14","0,13"
Insumo, 00006193 ,SINAPI,"TABUA NAO APARELHADA *2,5 X 20* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,4416000","16,39","7,23"
Insumo, 00007258 ,SINAPI,TIJOLO CERAMICO MACICO COMUM DE *5 X 10 X 20* CM (L X A X C),Material,,UN,"131,8188000","0,46","60,63"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.1.3.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 97956 ,SINAPI,"CAIXA PARA BOCA DE LOBO SIMPLES RETANGULAR, EM ALVENARIA COM BLOCOS DE CONCRETO, DIMENSÕES INTERNAS: 0,6X1X1,2 M. AF_12/2020",Poços de Visita e Caixas para Bocas de Lobo,,UN,"1,0000000","1.240,88","1.240,88"
Composição Auxiliar, 101616 ,SINAPI,"PREPARO DE FUNDO DE VALA COM LARGURA MENOR QUE 1,5 M (ACERTO DO SOLO NATURAL). AF_08/2020",Escoramento e Preparo de Fundo de Valas,,m²,"1,1700000","6,80","7,95"
Composição Auxiliar, 5678 ,SINAPI,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0313000","130,38","4,08"
Composição Auxiliar, 5679 ,SINAPI,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0637000","59,48","3,78"
Composição Auxiliar, 87316 ,SINAPI,"ARGAMASSA TRAÇO 1:4 (EM VOLUME DE CIMENTO E AREIA GROSSA ÚMIDA) PARA CHAPISCO CONVENCIONAL, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0418000","435,01","18,18"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"6,6151357","29,21","193,22"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"5,1976314","23,37","121,46"
Composição Auxiliar, 88628 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,4746000","486,40","230,84"
Composição Auxiliar, 89993 ,SINAPI,GRAUTEAMENTO VERTICAL EM ALVENARIA ESTRUTURAL. AF_09/2021,Graute e Armação,,m³,"0,0299000","962,86","28,78"
Composição Auxiliar, 89995 ,SINAPI,GRAUTEAMENTO DE CINTA SUPERIOR OU DE VERGA EM ALVENARIA ESTRUTURAL. AF_09/2021,Graute e Armação,,m³,"0,0615000","923,33","56,78"
Composição Auxiliar, 89996 ,SINAPI,"ARMAÇÃO VERTICAL DE ALVENARIA ESTRUTURAL; DIÂMETRO DE 10,0 MM. AF_09/2021",Graute e Armação,,KG,"0,9872000","9,85","9,72"
Composição Auxiliar, 89998 ,SINAPI,"ARMAÇÃO DE CINTA DE ALVENARIA ESTRUTURAL; DIÂMETRO DE 10,0 MM. AF_09/2021",Graute e Armação,,KG,"2,4680000","9,27","22,87"
Composição Auxiliar, 94970 ,SINAPI,"CONCRETO FCK = 20MPA, TRAÇO 1:2,7:3 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 600 L. AF_05/2021",Produção de Concreto,,m³,"0,1628000","406,99","66,25"
Composição Auxiliar, 97735 ,SINAPI,"PEÇA RETANGULAR PRÉ-MOLDADA, VOLUME DE CONCRETO DE 30 A 100 LITROS, TAXA DE AÇO APROXIMADA DE 30KG/M³. AF_03/2024",Estruturas Pré-Fabricadas e Pré-Moldadas,,m³,"0,0616000","2.362,25","145,51"
Insumo, 00000660 ,SINAPI,CANALETA DE CONCRETO 19 X 19 X 19 CM (CLASSE C - NBR 6136),Material,,UN,"21,0000000","2,92","61,32"
Insumo, 00002692 ,SINAPI,"DESMOLDANTE PROTETOR PARA FORMAS DE MADEIRA, DE BASE OLEOSA EMULSIONADA EM AGUA",Material,,L,"0,0082000","7,96","0,06"
Insumo, 00004491 ,SINAPI,"PONTALETE *7,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,1776000","9,17","1,62"
Insumo, 00004517 ,SINAPI,"SARRAFO *2,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,2112000","3,21","0,67"
Insumo, 00005069 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 17 X 27 (2 1/2 X 11),Material,,KG,"0,0187000","11,14","0,20"
Insumo, 00006193 ,SINAPI,"TABUA NAO APARELHADA *2,5 X 20* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,6624000","16,39","10,85"
Insumo, 00025067 ,SINAPI,"BLOCO DE CONCRETO ESTRUTURAL 19 X 19 X 39 CM, FBK 4,5 MPA (NBR 6136)",Material,,UN,"47,1757000","4,71","222,19"
Insumo, 00043386 ,SINAPI,"MEIO-FIO OU GUIA DE CONCRETO PRE-MOLDADO, TIPO CHAPEU PARA BOCA DE LOBO,  DIMENSOES *1,20* X 0,15 X 0,30 M",Material,,UN,"1,0000000","34,55","34,55"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.1.3.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 99275 ,SINAPI,"BASE PARA POÇO DE VISITA CIRCULAR PARA DRENAGEM, EM CONCRETO PRÉ-MOLDADO, DIÂMETRO INTERNO = 0,80 M, PROFUNDIDADE = 1,35 M, EXCLUINDO TAMPÃO. AF_12/2020",Poços de Visita e Caixas para Bocas de Lobo,,UN,"1,0000000","840,19","840,19"
Composição Auxiliar, 101623 ,SINAPI,"PREPARO DE FUNDO DE VALA COM LARGURA MENOR QUE 1,5 M, COM CAMADA DE BRITA, LANÇAMENTO MECANIZADO. AF_08/2020",Escoramento e Preparo de Fundo de Valas,,m³,"0,4152000","234,35","97,30"
Composição Auxiliar, 5678 ,SINAPI,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,2377000","130,38","30,99"
Composição Auxiliar, 5679 ,SINAPI,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,4845000","59,48","28,81"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1035164","29,21","3,02"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0813394","23,37","1,90"
Composição Auxiliar, 88628 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0569000","486,40","27,67"
Composição Auxiliar, 97738 ,SINAPI,"PEÇA CIRCULAR PRÉ-MOLDADA, VOLUME DE CONCRETO DE 10 A 30 LITROS, TAXA DE FIBRA DE POLIPROPILENO APROXIMADA DE 6 KG/M³. AF_03/2024_PS",Estruturas Pré-Fabricadas e Pré-Moldadas,,m³,"0,0221000","3.870,71","85,54"
Composição Auxiliar, 97739 ,SINAPI,"PEÇA CIRCULAR PRÉ-MOLDADA, VOLUME DE CONCRETO DE 30 A 100 LITROS, TAXA DE AÇO APROXIMADA DE 30KG/M³. AF_03/2024",Estruturas Pré-Fabricadas e Pré-Moldadas,,m³,"0,0662000","2.779,30","183,98"
Insumo, 00007258 ,SINAPI,TIJOLO CERAMICO MACICO COMUM DE *5 X 10 X 20* CM (L X A X C),Material,,UN,"31,3274000","0,46","14,41"
Insumo, 00012544 ,SINAPI,"ANEL EM CONCRETO ARMADO, LISO, PARA POCOS DE VISITAS, POCOS DE INSPECAO, FOSSAS SEPTICAS E SUMIDOUROS, SEM FUNDO, DIAMETRO INTERNO DE 0,80 M E ALTURA DE 0,50 M",Material,,UN,"1,0000000","151,99","151,99"
Insumo, 00043442 ,SINAPI,"ANEL EM CONCRETO ARMADO, LISO, PARA POCOS DE VISITAS, POCOS DE INSPECAO, FOSSAS SEPTICAS E SUMIDOUROS, COM FUNDO, DIAMETRO INTERNO DE 0,80 M E ALTURA DE 0,50 M",Material,,UN,"1,0000000","214,58","214,58"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.1.4 ,,,RALOS/CAIXA SIFONADA,,,,,,
 18.1.4.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, L0019 ,Próprio,"RALO SEMIESFÉRICO EM FERRO FUNDIDO, 100MM, EM CALHA DE ÁGUA PLUVIAL",SEDI - SERVIÇOS DIVERSOS,,UN,"1,0000000","37,61","37,61"
Composição Auxiliar, 88267 ,SINAPI,ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3983370","28,49","11,34"
Composição Auxiliar, 88248 ,SINAPI,AUXILIAR DE ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3983370","24,00","9,56"
Insumo,11708,SINAPI,"RALO FOFO SEMIESFERICO, 100 MM, PARA LAJES/ CALHAS",Material,,UN,"1,0000000","16,71","16,71"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.1.4.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, L0020 ,Próprio,"RALO SEMIESFÉRICO EM FERRO FUNDIDO, 150MM, EM CALHA DE ÁGUA PLUVIAL",SEDI - SERVIÇOS DIVERSOS,,UN,"1,0000000","60,10","60,10"
Composição Auxiliar, 88267 ,SINAPI,ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3972387","28,49","11,31"
Composição Auxiliar, 88248 ,SINAPI,AUXILIAR DE ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3972387","24,00","9,53"
Insumo,11709,SINAPI,"RALO FOFO SEMIESFERICO, 150 MM, PARA LAJES/ CALHAS",Material,,UN,"1,0000000","39,26","39,26"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.2 ,,,GRANITO/ MAPAS,,,,,,
 18.2.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0001 ,Próprio,"PRATELEIRA/TAMPO EM GRANITO CINZA OCRE, ESP= 2CM",SEDI - SERVIÇOS DIVERSOS,,m²,"1,0000000","479,76","479,76"
Composição Auxiliar, 88274 ,SINAPI,MARMORISTA/GRANITEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,1683394","28,62","33,43"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7688335","23,37","17,96"
Insumo, 00004823 ,SINAPI,MASSA PLASTICA PARA MARMORE/GRANITO,Material,,KG,"0,5228000","38,82","20,29"
Insumo, 10090 ,ORSE,Prateleira em granito cinza andorinha esp= 2cm,Material,,m²,"1,0000000","408,08","408,08"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.2.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, G0004 ,Próprio,DIVISÓRIA DE GRANITO CINZA E=2cm,PARE - PAREDES/PAINEIS,,M²,"1,0000000","405,86","405,86"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,9065596","29,21","55,69"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"3,8131194","23,37","89,11"
Insumo, 00000367 ,SINAPI,"AREIA GROSSA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0040000","105,35","0,42"
Insumo, 00001380 ,SINAPI,CIMENTO BRANCO NAO ESTRUTURAL (CPB - NAO ESTRUTURAL),Material,,KG,"0,7000000","3,86","2,70"
Insumo, 00001379 ,SINAPI,CIMENTO PORTLAND COMPOSTO CP II-32,Material,,KG,"1,6000000","0,58","0,92"
Insumo, I1621 ,SEINFRA,PERFIL BATENTE DE AÇO (14/24)X44MM CHAPA 20 (DIVISÓRIA),Material,,KG,"1,3000000","3,22","4,18"
Insumo, I7895 ,SEINFRA,DIVISÓRIA DE GRANITO CINZA E=2cm,Material,,m²,"1,0000000","252,84","252,84"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.2.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0051 ,Próprio,"MAPA TÁTIL EM ACRÍLICO MEDINDO 70 X 50CM, COM SUPORTE EM CHAPA EM  FERRO E TUBO DE FERRO GALVANIZADO 40 MM",SEDI - SERVIÇOS DIVERSOS,,UNID,"1,0000000","1.511,87","1.511,87"
Composição Auxiliar, 88315 ,SINAPI,SERRALHEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6814756","29,01","19,76"
Composição Auxiliar, 88251 ,SINAPI,AUXILIAR DE SERRALHEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,5592699","24,55","13,73"
Insumo, 00001321 ,SINAPI,"CHAPA DE ACO FINA A QUENTE BITOLA MSG 13, E = 2,25 MM (18,00 KG/M2)",Material,,KG,"4,5000000","7,34","33,03"
Insumo, 9092 ,ORSE,Mapa Tátil em acrílico 70 x 50cm,Material,,un,"1,0000000","1.386,19","1.386,19"
Insumo, 00007568 ,SINAPI,"BUCHA DE NYLON SEM ABA S10, COM PARAFUSO DE 6,10 X 65 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS",Material,,UN,"3,2730000","0,74","2,42"
Insumo, 00011002 ,SINAPI,"ELETRODO REVESTIDO AWS - E6013, DIAMETRO IGUAL A 2,50 MM",Material,,KG,"0,0040000","37,09","0,14"
Insumo, 00021012 ,SINAPI,"TUBO ACO GALVANIZADO COM COSTURA, CLASSE LEVE, DN 40 MM (1 1/2""), E = 3,00 MM, *3,48* KG/M (NBR 5580)",Material,,M,"1,0290000","41,89","43,10"
Insumo, 00004791 ,SINAPI,ADESIVO ACRILICO DE BASE AQUOSA / COLA DE CONTATO,Material,,KG,"0,3300000","40,91","13,50"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.2.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 98685 ,SINAPI,"RODAPÉ EM GRANITO, ALTURA 10 CM. AF_09/2020",Pisos,,M,"1,0000000","57,09","57,09"
Composição Auxiliar, 88274 ,SINAPI,MARMORISTA/GRANITEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2357186","28,62","6,74"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1182534","23,37","2,76"
Insumo, 00020231 ,SINAPI,"RODAPE OU RODABANCADA EM GRANITO, POLIDO, TIPO ANDORINHA/ QUARTZ/ CASTELO/ CORUMBA OU OUTROS EQUIVALENTES DA REGIAO, H= 10 CM, E= *2,0* CM",Material,,M,"1,0400000","42,86","44,57"
Insumo, 00034357 ,SINAPI,"REJUNTE CIMENTICIO, QUALQUER COR",Material,,KG,"0,1200000","5,30","0,63"
Insumo, 00037595 ,SINAPI,ARGAMASSA COLANTE TIPO AC III,Material,,KG,"0,8614000","2,78","2,39"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.2.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0006 ,Próprio,FILETE DE 4 CM EM GRANITO CINZA OCRE,SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","56,38","56,38"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2354384","29,21","6,87"
Insumo, 00004823 ,SINAPI,MASSA PLASTICA PARA MARMORE/GRANITO,Material,,KG,"0,0692000","38,82","2,68"
Insumo, 7480 ,ORSE,"Filete em granito cinza andorinha, l=4 cm, e= 2 cm, com acabamento aboleado",Material,,m,"1,0300000","45,47","46,83"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.2.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0003 ,Próprio,"CANTONEIRA DE AÇO DE ABAS IGUAIS DE 1.1/2"" E ESPESSURA DE 1/8"" PARA  FIXAÇÃO EM PAREDE",SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","23,12","23,12"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1981598","29,21","5,78"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1981598","23,37","4,63"
Composição Auxiliar, 88628 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0020000","486,40","0,97"
Insumo, 00004777 ,SINAPI,"CANTONEIRA ACO ABAS IGUAIS (QUALQUER BITOLA), ESPESSURA ENTRE 1/8"" E 1/4""",Material,,KG,"1,8300000","6,42","11,74"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.3 ,,,ANDAIME,,,,,,
 18.3.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, Q0002 ,Próprio,ANDAIME METÁLICO FACHADEIRO COM PISO METÁLICO DE ENCAIXE P/ FACHADAS-LOCAÇÃO MENSAL,PINT - PINTURAS,,M2XMÊS,"1,0000000","6,49","6,49"
Composição Auxiliar, 88278 ,SINAPI,MONTADOR DE ESTRUTURA METÁLICA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0637863","25,38","1,61"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1275725","23,37","2,98"
Insumo, I0068 ,SEINFRA,"ANDAIME METALICO DE FACHADA, INCLUSIVE TODOS OS ITENS NECESSÁRIOS À MONTAGEM (NÃO INCLUI INSTALAÇÃO) - LOCAÇÃO MENSAL",Material,,m²,"1,0300000","1,85","1,90"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.4 ,,,LIMPEZA,,,,,,
 18.4.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 99806 ,SINAPI,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE COM PANO ÚMIDO AF_04/2019,Limpeza de Obra,,m²,"1,0000000","0,74","0,74"
