,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Insumo, 00011712 ,SINAPI,"CAIXA SIFONADA, PVC, 150 X 150 X 50 MM, COM GRELHA QUADRADA, BRANCA (NBR 5688)",Material,,UN,"1,0000000","38,08","38,08"
Insumo, 00043681 ,SINAPI,"CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 8 A 12 MM",Material,,m²,"48,0000000","29,09","1.396,32"
Insumo, I0796 ,SEINFRA,CHUVEIRO PLASTICO,Material,,UN,"1,0000000","5,78","5,78"
Insumo, 00002370 ,SINAPI,"DISJUNTOR TIPO NEMA, MONOPOLAR 10 ATE 30A, TENSAO MAXIMA DE 240 V",Material,,UN,"1,0000000","8,72","8,72"
Insumo, 00002674 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 3/4 "", SEM LUVA",Material,,M,"3,0000000","3,43","10,29"
Insumo, 00006141 ,SINAPI,"ENGATE/RABICHO FLEXIVEL PLASTICO (PVC OU ABS) BRANCO 1/2"" X 30 CM",Material,,UN,"1,0000000","4,84","4,84"
Insumo, 00010425 ,SINAPI,"LAVATORIO DE LOUCA BRANCA, SUSPENSO (SEM COLUNA), DIMENSOES *40 X 30* CM",Material,,UN,"1,0000000","79,68","79,68"
Insumo, 00006016 ,SINAPI,"REGISTRO GAVETA BRUTO EM LATAO FORJADO, BITOLA 3/4""",Material,,UN,"1,0000000","28,20","28,20"
Insumo, 00004408 ,SINAPI,"RIPA NAO APARELHADA, *1,5 X 5* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"16,2800000","2,21","35,97"
Insumo, 00009868 ,SINAPI,"TUBO PVC, SOLDAVEL, DE 25 MM, AGUA FRIA (NBR-5648)",Material,,M,"6,0000000","3,23","19,38"
Insumo, 00002433 ,SINAPI,"DOBRADICA EM ACO/FERRO, 3"" X 2 1/2"", E= 1,2 A 1,8 MM, SEM ANEL, CROMADO OU ZINCADO, TAMPA CHATA, COM PARAFUSOS",Material,,UN,"6,0000000","8,18","49,08"
Insumo, 00011484 ,SINAPI,"FECHADURA DE SOBREPOR PARA PORTAO, EM ACO INOX COM ACABAMENTO CROMADO, CAIXA DE 100 MM, INCLUINDO CHAVE TIPO CILINDRO",Material,,UN,"2,0000000","44,42","88,84"
Insumo, 00000939 ,SINAPI,"FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 2,5 MM2",Material,,M,"64,0000000","2,12","135,68"
Insumo, 00012128 ,SINAPI,"INTERRUPTOR SIMPLES 10A, 250V, CONJUNTO MONTADO PARA SOBREPOR 4"" X 2"" (CAIXA + MODULO)",Material,,UN,"3,0000000","7,76","23,28"
Insumo, 00038194 ,SINAPI,"LAMPADA LED 10 W BIVOLT BRANCA, FORMATO TRADICIONAL (BASE E27)",Material,,UN,"4,0000000","4,11","16,44"
Insumo, I2379 ,SEINFRA,"MINI POSTE F.G. 1 1/14"" C/2.00M E REX MONOFASICO",Material,,UN,"1,0000000","53,97","53,97"
Insumo, 00005063 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 14 X 18 (1 1/2 X 14),Material,,KG,"2,0000000","13,04","26,08"
Insumo, 00039804 ,SINAPI,"QUADRO DE DISTRIBUICAO, EM PVC, DE EMBUTIR, COM BARRAMENTO TERRA / NEUTRO, PARA 6 DISJUNTORES NEMA OU 8 DISJUNTORES DIN",Material,,UN,"1,0000000","61,02","61,02"
Insumo, 00006038 ,SINAPI,"REGISTRO DE PRESSAO PVC, ROSCAVEL, VOLANTE SIMPLES, DE 1/2""",Material,,UN,"1,0000000","2,85","2,85"
Insumo, I2429 ,SEINFRA,"TABUA DE VIROLA DE 12""x 1""",Material,,m²,"2,7000000","29,31","79,13"
Insumo, I2433 ,SEINFRA,"TARGETA DE FERRO 2""",Material,,UN,"3,0000000","4,70","14,10"
Insumo, I2440 ,SEINFRA,TELHA DE FIBROCIMENTO DE 4MM (0.50 x 2.44M),Material,,UN,"11,0000000","20,05","220,55"
Insumo, 00012147 ,SINAPI,"TOMADA 2P+T 10A, 250V, CONJUNTO MONTADO PARA SOBREPOR 4"" X 2"" (CAIXA + MODULO)",Material,,UN,"3,0000000","11,53","34,59"
Insumo, 00007602 ,SINAPI,"TORNEIRA DE METAL AMARELO, PARA TANQUE / JARDIM, DE PAREDE, COM BICO PLASTICO, CANO CURTO, AREA EXTERNA, PADRAO POPULAR / USO GERAL, 1/2"" OU 3/4""",Material,,UN,"1,0000000","35,22","35,22"
Insumo, 00009836 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 100 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"3,0000000","11,99","35,97"
Insumo, 00009835 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 40 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"3,0000000","5,24","15,72"
Insumo, 00009838 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 50 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"3,0000000","8,65","25,95"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.9 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0047 ,Próprio,EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,SERP - SERVIÇOS PRELIMINARES,,M²,"1,0000000","303,29","303,29"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,8880751","28,79","54,35"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3857390","29,21","11,26"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,9287703","23,37","45,07"
Composição Auxiliar, 94963 ,SINAPI,"CONCRETO FCK = 15MPA, TRAÇO 1:3,4:3,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",Produção de Concreto,,m³,"0,0148000","390,16","5,77"
Composição Auxiliar, 98680 ,SINAPI,"PISO CIMENTADO, TRAÇO 1:3 (CIMENTO E AREIA), ACABAMENTO LISO, ESPESSURA 3,0 CM, PREPARO MECÂNICO DA ARGAMASSA. AF_09/2020",Pisos,,m²,"1,3839000","43,27","59,88"
Insumo, I0197 ,SEINFRA,"BARROTE DE 2""x2""",Material,,M,"1,0256000","5,51","5,65"
Insumo, I0198 ,SEINFRA,"PONTALETE / BARROTE DE 3""x3"" - APARELHADO",Material,,M,"1,7094000","17,69","30,23"
