,,,,,,,,,,,,,,,,,MOBRA,INSUMO,EQUIP,SERV,,
,,LETRA,GRUPO,FONTE,CODIGO DA COMPOSICAO,DESCRICAO DA COMPOSICAO,UN,TIPO ITEM,REFERÊNCIA,CODIGO ITEM,DESCRIÇÃO ITEM,UNIDADE,COEFICIENTE,PRECO UNITARIO,CUSTO TOTAL,% ENCARGOS SOCIAIS,CUSTO MAO DE OBRA,CUSTO MATERIAL,CUSTO EQUIPAMENTO,CUSTO SERVIÇO,PREÇO UNITÁRIO,COMPOSIÇÃO USADA COMO REFERÊNCIA E OBSERVAÇÕES
,,,,,,,,,,,,,,,,,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0037,REMOÇÃO DE CERCAS,M2,,,,,,,,,0,"0,55",0,0,0,"0,55",Composição com base no Item SEINFRA C2873
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0037,REMOÇÃO DE CERCAS,M2,MOBRA,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0250","22,10","0,55",,,,,,,
HEAD2,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,,,,,,,,,0,"3801,90","6000,89",0,"2187,57","11990,36",Elaborada com base na composição C0371 Seinfra - Atualizado em 10/07/2024
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,MOBRA,SINAPI,88262,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,H,"60,0000","28,52","1711,20",,,,,,,Atualizada pela tabela seinfra 028.1 e seinfra 05/2024
,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,MOBRA,SINAPI,88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,"15,0000","28,88","433,20",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,MOBRA,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"75,0000","22,10","1657,50",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,SERV,SINAPI,94963,"CONCRETO FCK = 15MPA, TRAÇO 1:3,4:3,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",M3,"0,4320","466,29","201,43",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,SERV,SINAPI,98680,"PISO CIMENTADO, TRAÇO 1:3 (CIMENTO E AREIA), ACABAMENTO LISO, ESPESSURA 3,0 CM, PREPARO MECÂNICO DA ARGAMASSA. AF_09/2020",M2,"40,8000","48,68","1986,14",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,10422,"BACIA SANITARIA (VASO) COM CAIXA ACOPLADA, SIFAO APARENTE, DE LOUCA BRANCA (SEM ASSENTO)                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN,"1,0000","392,53","392,53",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SEINFRA,I0197,"BARROTE DE 2""x2""",M,"30,0000","6,89","206,70",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SEINFRA,I0198,"PONTALETE / BARROTE DE 3""x3"" - APARELHADO",M,"50,0000","22,11","1105,50",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,5090,"CADEADO SIMPLES, CORPO EM LATAO MACICO, COM LARGURA DE 25 MM E ALTURA DE APROX 25 MM, HASTE CEMENTADA (NAO LONGA), EM ACO TEMPERADO COM DIAMETRO DE APROX 5,0 MM, INCLUINDO 2 CHAVES                                                                                                                                                                                                                                                                                                                      ",UN,"2,0000","21,72","43,44",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,11712,"CAIXA SIFONADA, PVC, 150 X 150 X 50 MM, COM GRELHA QUADRADA, BRANCA (NBR 5688)                                                                                                                                                                                                                                                                                                                                                                                                                            ",UN,"1,0000","42,10","42,10",,,,,,,
