,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
12.1.2.16,89398,SINAPI,"TE, PVC, SOLDÁVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 14,75","8,00","R$ 118,00","R$ 143,31",,,,,,
12.1.2.17,89572,SINAPI,"ADAPTADOR CURTO COM BOLSA E ROSCA PARA REGISTRO, PVC, SOLDÁVEL, DN 40MM X 1.1/4, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 6,75","4,00","R$ 27,00","R$ 32,79",,,,,,
12.1.2.18,89596,SINAPI,"ADAPTADOR CURTO COM BOLSA E ROSCA PARA REGISTRO, PVC, SOLDÁVEL, DN 50MM X 1.1/2, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 8,11","29,00","R$ 235,19","R$ 285,63",,,,,,
12.1.2.19,89501,SINAPI,"JOELHO 90 GRAUS, PVC, SOLDÁVEL, DN 50MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 11,27","26,00","R$ 293,02","R$ 355,87",,,,,,
12.1.2.2,89378,SINAPI,"LUVA, PVC, SOLDÁVEL, DN 25MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 5,72","8,00","R$ 45,76","R$ 55,57",,,,,,
12.1.2.20,104011,SINAPI,"TE, PVC, SOLDÁVEL, DN 40MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 20,01","3,00","R$ 60,03","R$ 72,90",,,,,,
12.1.2.21,89625,SINAPI,"TE, PVC, SOLDÁVEL, DN 50MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 17,68","9,00","R$ 159,12","R$ 193,25",,,,,,
12.1.2.22,89527,SINAPI,"CURVA 45 GRAUS, PVC, SOLDÁVEL, DN 85MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 43,17","1,00","R$ 43,17","R$ 52,42",,,,,,
12.1.2.23,94679,SINAPI,"CURVA 90 GRAUS, PVC, SOLDÁVEL, DN 50 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"R$ 18,07","1,00","R$ 18,07","R$ 21,94",,,,,,
12.1.2.24,94714,SINAPI,"ADAPTADOR COM FLANGES LIVRES, PVC, SOLDÁVEL, DN 85 MM X 3"", INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"R$ 251,38","1,00","R$ 251,38","R$ 305,30",,,,,,
12.1.2.25,94668,SINAPI,"ADAPTADOR CURTO COM BOLSA E ROSCA PARA REGISTRO, PVC, SOLDÁVEL, DN 85 MM X 3"", INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"R$ 33,28","1,00","R$ 33,28","R$ 40,41",,,,,,
12.1.2.26,89521,SINAPI,"JOELHO 90 GRAUS, PVC, SOLDÁVEL, DN 85MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 93,07","5,00","R$ 465,35","R$ 565,16",,,,,,
12.1.2.27,89577,SINAPI,"LUVA DE CORRER, PVC, SOLDÁVEL, DN 50MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 27,77","1,00","R$ 27,77","R$ 33,72",,,,,,
12.1.2.28,L0021,UFCA,"CAP PVC SOLD. MARROM D= 40mm (1 1/4"")",UN,"R$ 6,56","4,00","R$ 26,24","R$ 31,86",,,,,,
12.1.2.29,L0022,UFCA,"CAP PVC SOLD. MARROM D= 50mm (1 1/2"")",UN,"R$ 9,34","5,00","R$ 46,70","R$ 56,71",,,,,,
12.1.2.3,89386,SINAPI,"LUVA, PVC, SOLDÁVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 7,73","2,00","R$ 15,46","R$ 18,77",,,,,,
12.1.2.30,L0023,UFCA,TE REDUCAO PVC SOLDAVEL DE 32X25 MM PARA AGUA FRIA,UN,"R$ 14,35","9,00","R$ 129,15","R$ 156,85",,,,,,
12.1.2.4,89395,SINAPI,"TE, PVC, SOLDÁVEL, DN 25MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 10,69","48,00","R$ 513,12","R$ 623,18",,,,,,
12.1.2.5,89385,SINAPI,"LUVA SOLDÁVEL E COM ROSCA, PVC, SOLDÁVEL, DN 25MM X 3/4, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 5,84","8,00","R$ 46,72","R$ 56,74",,,,,,
12.1.2.6,89362,SINAPI,"JOELHO 90 GRAUS, PVC, SOLDÁVEL, DN 25MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 7,76","46,00","R$ 356,96","R$ 433,52",,,,,,
12.1.2.7,103980,SINAPI,"JOELHO 90 GRAUS, PVC, SOLDÁVEL, DN 40MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 14,04","10,00","R$ 140,40","R$ 170,51",,,,,,
12.1.2.8,89367,SINAPI,"JOELHO 90 GRAUS, PVC, SOLDÁVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 10,61","15,00","R$ 159,15","R$ 193,28",,,,,,
12.1.2.9,89366,SINAPI,"JOELHO 90 GRAUS COM BUCHA DE LATÃO, PVC, SOLDÁVEL, DN 25MM, X 3/4 INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 12,90","13,00","R$ 167,70","R$ 203,67",,,,,,
12.1.3,,,REGISTROS E VÁLVULAS,,,,,,,,,,,
12.1.3.1,L0025,UFCA,"REGISTRO TIPO ESFERA EM PVC COM BORBOLETA,3"" - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 121,18","1,00","R$ 121,18","R$ 147,17",,,,,,
12.1.3.2,89987,SINAPI,"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 3/4"", COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 78,00","10,00","R$ 780,00","R$ 947,31",,,,,,
12.1.3.3,94792,SINAPI,"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 1"", COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 95,02","6,00","R$ 570,12","R$ 692,41",,,,,,
12.1.3.4,89984,SINAPI,"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 1/2"", COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 70,37","8,00","R$ 562,96","R$ 683,71",,,,,,
12.1.3.5,94793,SINAPI,"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 1 1/4"", COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 130,11","2,00","R$ 260,22","R$ 316,03",,,,,,
12.1.3.6,94794,SINAPI,"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 1 1/2"", COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 138,05","10,00","R$ 1.380,50","R$ 1.676,61",,,,,,
12.1.3.7,99622,SINAPI,"VÁLVULA DE RETENÇÃO HORIZONTAL, DE BRONZE, ROSCÁVEL, 1 1/2"" - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 257,45","4,00","R$ 1.029,80","R$ 1.250,69",,,,,,
12.1.3.8,95252,SINAPI,"VÁLVULA DE ESFERA BRUTA, BRONZE, ROSCÁVEL, 1 1/2'' - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 123,12","1,00","R$ 123,12","R$ 149,52",,,,,,
12.1.4,,,SERVIÇOS DIVERSOS,,,,,,,,,,,
12.1.4.1,90443,SINAPI,"RASGO LINEAR MANUAL EM ALVENARIA, PARA RAMAIS/ DISTRIBUIÇÃO DE INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MENORES OU IGUAIS A 40 MM. AF_09/2023",M,"R$ 6,59","26,11","R$ 172,06","R$ 208,96",,,,,,
12.1.4.2,102118,SINAPI,"BOMBA CENTRÍFUGA, TRIFÁSICA, 3 CV OU 2,96 HP, HM 34 A 40 M, Q 8,6 A 14,8 M3/H - FORNECIMENTO E INSTALAÇÃO. AF_12/2020",UN,"R$ 2.077,13","4,00","R$ 8.308,52","R$ 10.090,69",,,,,,
12.1.4.3,102621,SINAPI,"CAIXA D´ÁGUA EM POLIÉSTER REFORÇADO COM FIBRA DE VIDRO, 20000 LITROS - FORNECIMENTO E INSTALAÇÃO. AF_06/2021",UN,"R$ 10.764,85","2,00","R$ 21.529,70","R$ 26.147,82",,,,,,
12.1.4.4,99262,SINAPI,"CAIXA ENTERRADA HIDRÁULICA RETANGULAR, EM ALVENARIA COM BLOCOS DE CONCRETO, DIMENSÕES INTERNAS: 0,8X0,8X0,6 M PARA REDE DE DRENAGEM. AF_12/2020",UN,"R$ 519,04","12,00","R$ 6.228,48","R$ 7.564,48",,,,,,
12.1.5,,,INSTALAÇÕES HIDRÁULICAS - POÇO,,,,,,,,,,,
12.1.5.1,92341,SINAPI,"TUBO DE AÇO GALVANIZADO COM COSTURA, CLASSE MÉDIA, DN 50 (2""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",M,"R$ 82,67","160,00","R$ 13.227,20","R$ 16.064,43",,,,,,
12.1.5.10,94652,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 60MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",M,"R$ 27,05","364,30","R$ 9.854,31","R$ 11.968,05",,,,,,
12.1.5.11,89449,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 50MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",M,"R$ 14,00","375,55","R$ 5.257,70","R$ 6.385,47",,,,,,
12.1.5.12,89505,SINAPI,"JOELHO 90 GRAUS, PVC, SOLDÁVEL, DN 60MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 31,54","6,00","R$ 189,24","R$ 229,83",,,,,,
12.1.5.13,89597,SINAPI,"LUVA, PVC, SOLDÁVEL, DN 60MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 17,31","65,00","R$ 1.125,15","R$ 1.366,49",,,,,,
12.1.5.14,103984,SINAPI,"JOELHO 90 GRAUS, PVC, SOLDÁVEL, DN 50MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 15,61","8,00","R$ 124,88","R$ 151,66",,,,,,
12.1.5.15,103995,SINAPI,"LUVA, PVC, SOLDÁVEL, DN 50MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 11,91","56,00","R$ 666,96","R$ 810,02",,,,,,
12.1.5.2,92345,SINAPI,"LUVA, EM FERRO GALVANIZADO, DN 50 (2""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 58,74","30,00","R$ 1.762,20","R$ 2.140,19",,,,,,
12.1.5.3,92356,SINAPI,"TÊ, EM FERRO GALVANIZADO, DN 50 (2""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 113,80","2,00","R$ 227,60","R$ 276,42",,,,,,
12.1.5.4,92351,SINAPI,"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, DN 50 (2""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 85,38","2,00","R$ 170,76","R$ 207,38",,,,,,
12.1.5.5,99623,SINAPI,"VÁLVULA DE RETENÇÃO HORIZONTAL, DE BRONZE, ROSCÁVEL, 2"" - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 359,44","1,00","R$ 359,44","R$ 436,53",,,,,,
12.1.5.6,94498,SINAPI,"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 2"" - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 120,91","2,00","R$ 241,82","R$ 293,69",,,,,,
12.1.5.7,101917,SINAPI,"MANÔMETRO 0 A 200 PSI (0 A 14 KGF/CM2), D = 50MM - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 134,44","1,00","R$ 134,44","R$ 163,27",,,,,,
12.1.5.8,94664,SINAPI,"ADAPTADOR CURTO COM BOLSA E ROSCA PARA REGISTRO, PVC, SOLDÁVEL, DN 60 MM X 2"", INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"R$ 15,43","2,00","R$ 30,86","R$ 37,47",,,,,,
12.1.5.9,89609,SINAPI,"UNIÃO, PVC, SOLDÁVEL, DN 60MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 62,75","3,00","R$ 188,25","R$ 228,62",,,,,,
12.2,,,INSTALAÇÕES SANITÁRIAS,,,,,,,,,,,
12.2.1,,,TUBOS,,,,,,,,,,,
12.2.1.1,89711,SINAPI,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",M,"R$ 17,81","54,99","R$ 979,37","R$ 1.189,44",,,,,,
12.2.1.2,89712,SINAPI,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 50 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",M,"R$ 22,44","32,29","R$ 724,58","R$ 880,00",,,,,,
12.2.1.3,89714,SINAPI,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",M,"R$ 31,26","178,52","R$ 5.580,53","R$ 6.777,55",,,,,,
12.2.1.4,89798,SINAPI,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 50 MM, FORNECIDO E INSTALADO EM PRUMADA DE ESGOTO SANITÁRIO OU VENTILAÇÃO. AF_08/2022",M,"R$ 10,86","61,79","R$ 671,03","R$ 814,96",,,,,,
12.2.2,,,CONEXÕES,,,,,,,,,,,
12.2.2.1,89724,SINAPI,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 8,33","45,00","R$ 374,85","R$ 455,25",,,,,,
12.2.2.10,89827,SINAPI,"JUNÇÃO SIMPLES, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 50 X 50 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM PRUMADA DE ESGOTO SANITÁRIO OU VENTILAÇÃO. AF_08/2022",UN,"R$ 17,76","3,00","R$ 53,28","R$ 64,70",,,,,,
12.2.2.11,89825,SINAPI,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 50 X 50 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM PRUMADA DE ESGOTO SANITÁRIO OU VENTILAÇÃO. AF_08/2022",UN,"R$ 15,88","32,00","R$ 508,16","R$ 617,16",,,,,,
12.2.2.12,104352,SINAPI,"TE, PVC, SÉRIE NORMAL, ESGOTO PREDIAL, DN 100 X 50 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM PRUMADA DE ESGOTO SANITÁRIO OU VENTILAÇÃO. AF_08/2022",UN,"R$ 34,94","6,00","R$ 209,64","R$ 254,60",,,,,,
12.2.2.2,89726,SINAPI,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 8,51","42,00","R$ 357,42","R$ 434,08",,,,,,
12.2.2.3,89731,SINAPI,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 50 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 13,52","22,00","R$ 297,44","R$ 361,24",,,,,,
12.2.2.4,89732,SINAPI,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 50 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 14,10","31,00","R$ 437,10","R$ 530,85",,,,,,
12.2.2.5,89744,SINAPI,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 24,67","18,00","R$ 444,06","R$ 539,31",,,,,,
12.2.2.6,89746,SINAPI,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 25,34","5,00","R$ 126,70","R$ 153,87",,,,,,
12.2.2.7,104345,SINAPI,"JUNÇÃO DE REDUÇÃO INVERTIDA, PVC, SÉRIE NORMAL, ESGOTO PREDIAL, DN 100 X 50 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 37,63","14,00","R$ 526,82","R$ 639,82",,,,,,
12.2.2.8,89728,SINAPI,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 10,67","31,00","R$ 330,77","R$ 401,72",,,,,,
12.2.2.9,89797,SINAPI,"JUNÇÃO SIMPLES, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 X 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 44,92","16,00","R$ 718,72","R$ 872,88",,,,,,
12.2.3,,,CAIXAS,,,,,,,,,,,
12.2.3.1,97902,SINAPI,"CAIXA ENTERRADA HIDRÁULICA RETANGULAR EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, DIMENSÕES INTERNAS: 0,6X0,6X0,6 M PARA REDE DE ESGOTO. AF_12/2020",UN,"R$ 469,09","6,00","R$ 2.814,54","R$ 3.418,25",,,,,,
12.2.3.2,97978,SINAPI,"BASE PARA POÇO DE VISITA CIRCULAR PARA ESGOTO, EM CONCRETO PRÉ-MOLDADO, DIÂMETRO INTERNO = 0,80 M, PROFUNDIDADE = 1,35 M, EXCLUINDO TAMPÃO. AF_12/2020",UN,"R$ 849,90","4,00","R$ 3.399,60","R$ 4.128,81",,,,,,
12.2.3.3,98409,SINAPI,"ACRÉSCIMO PARA POÇO DE VISITA CIRCULAR PARA ESGOTO, EM CONCRETO PRÉ- MOLDADO, DIÂMETRO INTERNO = 0,8 M. AF_12/2020",M,"R$ 359,75","4,00","R$ 1.439,00","R$ 1.747,66",,,,,,
12.2.4,,,RALOS/CAIXA SIFONADA,,,,,,,,,,,
12.2.4.1,89707,SINAPI,"CAIXA SIFONADA, PVC, DN 100 X 100 X 50 MM, JUNTA ELÁSTICA, FORNECIDA E INSTALADA EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 40,92","10,00","R$ 409,20","R$ 496,97",,,,,,
12.2.4.2,104328,SINAPI,"CAIXA SIFONADA, COM GRELHA QUADRADA, PVC, DN 150 X 150 X 50 MM, JUNTA SOLDÁVEL, FORNECIDA E INSTALADA EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 59,63","6,00","R$ 357,78","R$ 434,52",,,,,,
12.2.4.3,89710,SINAPI,"RALO SECO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022",UN,"R$ 15,62","8,00","R$ 124,96","R$ 151,76",,,,,,
12.2.5,,,SERVIÇOS DIVERSOS,,,,,,,,,,,
12.2.5.1,90443,SINAPI,"RASGO LINEAR MANUAL EM ALVENARIA, PARA RAMAIS/ DISTRIBUIÇÃO DE INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MENORES OU IGUAIS A 40 MM. AF_09/2023",M,"R$ 6,59","12,40","R$ 81,71","R$ 99,23",,,,,,
12.2.5.2,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","79,66","R$ 5.876,51","R$ 7.137,02",,,,,,
12.2.5.3,93382,SINAPI,"REATERRO MANUAL DE VALAS, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",M3,"R$ 22,65","66,15","R$ 1.498,29","R$ 1.819,67",,,,,,
12.3,,,LOUÇAS/METAIS E ACESSÓRIOS,,,,,,,,,,,
12.3.1,86888,SINAPI,VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA LOUÇA BRANCA - FORNECIMENTO E INSTALAÇÃO. AF_01/2020,UN,"R$ 419,22","16,00","R$ 6.707,52","R$ 8.146,28",,,,,,
12.3.10,95547,SINAPI,"SABONETEIRA PLASTICA TIPO DISPENSER PARA SABONETE LIQUIDO COM RESERVATORIO 800 A 1500 ML, INCLUSO FIXAÇÃO. AF_01/2020",UN,"R$ 43,33","8,00","R$ 346,64","R$ 420,99",,,,,,
12.3.11,L0001,UFCA,"PAPELEIRA PLASTICA TIPO DISPENSER PARA PAPEL HIGIENICO ROLAO, INCLUSO FIXAÇÃO",UN,"R$ 44,74","20,00","R$ 894,80","R$ 1.086,73",,,,,,
12.3.12,L0002,UFCA,"TOALHEIRO PLASTICO TIPO DISPENSER PARA PAPEL TOALHA INTERFOLHADO, INCLUSO FIXAÇÃO",UN,"R$ 44,74","8,00","R$ 357,92","R$ 434,69",,,,,,
12.3.13,L0004,UFCA,CABIDE/GANCHO DE BANHEIRO SIMPLES EM METAL CROMADO - FORNECIMENTO E INSTALAÇÃO.,M,"R$ 29,43","24,00","R$ 706,32","R$ 857,82",,,,,,
12.3.14,H0053,UFCA,"BARRA DE APOIO, RETA, FIXA, EM AÇO INOX, L=40CM, D=1 1/4”, JACKWAL OU SIMILAR",UN,"R$ 90,70","12,00","R$ 1.088,40","R$ 1.321,86",,,,,,
12.3.15,100866,SINAPI,"BARRA DE APOIO RETA, EM ACO INOX POLIDO, COMPRIMENTO 60CM, FIXADA NA PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_01/2020",UN,"R$ 343,52","4,00","R$ 1.374,08","R$ 1.668,82",,,,,,
12.3.16,100867,SINAPI,"BARRA DE APOIO RETA, EM ACO INOX POLIDO, COMPRIMENTO 70 CM, FIXADA NA PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_01/2020",UN,"R$ 367,29","16,00","R$ 5.876,64","R$ 7.137,17",,,,,,
12.3.17,100868,SINAPI,"BARRA DE APOIO RETA, EM ACO INOX POLIDO, COMPRIMENTO 80 CM, FIXADA NA PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_01/2020",UN,"R$ 383,10","8,00","R$ 3.064,80","R$ 3.722,19",,,,,,
12.3.18,86914,SINAPI,"TORNEIRA CROMADA 1/2"" OU 3/4"" PARA TANQUE, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020",UN,"R$ 76,13","1,00","R$ 76,13","R$ 92,45",,,,,,
12.3.2,86885,SINAPI,"ENGATE FLEXÍVEL EM PLÁSTICO BRANCO, 1/2"" X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020",UN,"R$ 10,51","16,00","R$ 168,16","R$ 204,23",,,,,,
12.3.3,100858,SINAPI,MICTÓRIO SIFONADO LOUÇA BRANCA - PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020,UN,"R$ 699,93","4,00","R$ 2.799,72","R$ 3.400,25",,,,,,
12.3.4,L0006,UFCA,DUCHA P/ WC CROMADO (INSTALADO),UN,"R$ 62,04","16,00","R$ 992,64","R$ 1.205,56",,,,,,
12.3.5,L0007,UFCA,BASE EM PRÉ-MOLDADO DE CONCRETO COM ADITIVO IMPERMEABILIZANTE P/ INSTALAÇÃO DE BACIA SANITÁRIA,UN,"R$ 77,41","4,00","R$ 309,64","R$ 376,05",,,,,,
12.3.6,93441,SINAPI,"BANCADA GRANITO CINZA 150 X 60 CM, COM CUBA DE EMBUTIR DE AÇO, VÁLVULA AMERICANA EM METAL, SIFÃO FLEXÍVEL EM PVC, ENGATE FLEXÍVEL 30 CM, TORNEIRA CROMADA LONGA, DE PAREDE, 1/2"" OU 3/4"", P/ COZINHA, PADRÃO POPULAR - FORNEC. E INSTALAÇÃO. AF_01/2020",UN,"R$ 879,17","1,00","R$ 879,17","R$ 1.067,75",,,,,,
