,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
10.2.1.7,J0175,UFCA,REFLETOR DE LED EM ALUMÍNIO COM DRIVE INTERNO. LUZ BRANCA. POTÊNCIA ATÉ 150W.,UN,"R$ 63,58","4,00","R$ 254,32","R$ 308,87",,,,,,
10.2.2,,,CABOS E TERMINAIS DOS CABOS,,,,,,,,,,,
10.2.2.1,92980,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 10 MM², ANTI-CHAMA 0,6/1,0 KV, PARA DISTRIBUIÇÃO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",M,"R$ 8,83","373,00","R$ 3.293,59","R$ 4.000,06",,,,,,
10.2.2.2,92982,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 16 MM², ANTI-CHAMA 0,6/1,0 KV, PARA DISTRIBUIÇÃO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",M,"R$ 14,01","422,70","R$ 5.922,02","R$ 7.192,29",,,,,,
10.2.2.3,91927,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 4,06","666,60","R$ 2.706,39","R$ 3.286,91",,,,,,
10.2.2.4,J0136,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 10 mm² A 16mm²,UN,"R$ 5,96","9,00","R$ 53,64","R$ 65,14",,,,,,
10.2.3,,,ELETRODUTOS E ACESSÓRIOS,,,,,,,,,,,
10.2.3.1,97667,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PEAD, DN 50 (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 6,58","525,90","R$ 3.460,42","R$ 4.202,68",,,,,,
10.2.3.10,90105,SINAPI,"ESCAVAÇÃO MECANIZADA DE VALA COM PROFUNDIDADE ATÉ 1,5 M (MÉDIA MONTANTE E JUSANTE/UMA COMPOSIÇÃO POR TRECHO), RETROESCAV. (0,26 M3), LARGURA MENOR QUE 0,8 M, EM SOLO DE 1A CATEGORIA, LOCAIS COM BAIXO NÍVEL DE INTERFERÊNCIA. AF_09/2024",M3,"R$ 7,49","140,42","R$ 1.051,74","R$ 1.277,33",,,,,,
10.2.3.11,93378,SINAPI,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA ATÉ 0,8 M, PROFUNDIDADE ATÉ 1,5 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",M3,"R$ 22,65","140,42","R$ 3.180,51","R$ 3.862,72",,,,,,
10.2.3.12,91854,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 7,65","8,90","R$ 68,08","R$ 82,68",,,,,,
10.2.3.13,91856,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PVC, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 9,61","8,00","R$ 76,88","R$ 93,37",,,,,,
10.2.3.14,104780,SINAPI,"RASGO LINEAR MECANIZADO EM ALVENARIA, PARA ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM. AF_09/2023",M,"R$ 5,64","8,90","R$ 50,19","R$ 60,95",,,,,,
10.2.3.15,91941,SINAPI,"CAIXA RETANGULAR 4"" X 2"" BAIXA (0,30 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 9,03","5,00","R$ 45,15","R$ 54,83",,,,,,
10.2.3.2,J0121,UFCA,FITA DE ADVERTÊNCIA DE REDE ELÉTRICA ENTERRADA,M,"R$ 2,07","525,90","R$ 1.088,61","R$ 1.322,11",,,,,,
10.2.3.3,93008,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 50 MM (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 13,49","12,60","R$ 169,97","R$ 206,42",,,,,,
10.2.3.4,93018,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 50 MM (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 18,05","3,00","R$ 54,15","R$ 65,76",,,,,,
10.2.3.5,93013,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 50 MM (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 11,89","10,00","R$ 118,90","R$ 144,40",,,,,,
10.2.3.6,J0202,UFCA,"ELETRODUTO DE AÇO GALVANIZADO, MÉDIO, DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO",M,"R$ 17,73","28,80","R$ 510,62","R$ 620,14",,,,,,
10.2.3.7,J0203,UFCA,LUVA PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 10,34","25,00","R$ 258,50","R$ 313,94",,,,,,
10.2.3.8,J0204,UFCA,CURVA PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 19,32","8,00","R$ 154,56","R$ 187,71",,,,,,
10.2.3.9,104785,SINAPI,"FIXAÇÃO DE ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO D COM PARAFUSO DE FIXAÇÃO 1 1/4"", FIXADA DIRETAMENTE NA LAJE OU PAREDE. AF_09/2023",M,"R$ 12,66","34,00","R$ 430,44","R$ 522,76",,,,,,
10.2.4,,,CAIXAS DE PASSAGEM E MANILHAS,,,,,,,,,,,
10.2.4.1,97888,SINAPI,"CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,6X0,6X0,6 M. AF_12/2020",UN,"R$ 417,61","32,00","R$ 13.363,52","R$ 16.229,99",,,,,,
10.2.4.2,95565,SINAPI,"TUBO DE CONCRETO PARA REDES COLETORAS DE ÁGUAS PLUVIAIS, DIÂMETRO DE 300MM, JUNTA RÍGIDA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_03/2024",M,"R$ 120,38","38,50","R$ 4.634,63","R$ 5.628,75",,,,,,
10.2.4.3,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","19,25","R$ 1.420,07","R$ 1.724,67",,,,,,
10.2.4.4,104737,SINAPI,"REATERRO MANUAL DE VALAS, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"R$ 18,73","19,25","R$ 360,55","R$ 437,88",,,,,,
10.2.5,,,QUADRO DE ILUMINAÇÃO EXTERNA (Q-ILUM),,,,,,,,,,,
10.2.5.1,J0071,UFCA,"QUADRO DE COMANDO EM AÇO CARBONO 1.6mm; TRATAMENTO QUÍMICO ANTICORROSIVO , IP 54, TIPO SOBREPOR, DIMENSÕES 1200x760x300mm COM BASE DE METAL",UN,"R$ 1.145,07","1,00","R$ 1.145,07","R$ 1.390,68",,,,,,
10.2.5.10,J0058,UFCA,COMUTADOR DE 2 POSIÇÕES,UN,"R$ 67,36","1,00","R$ 67,36","R$ 81,80",,,,,,
10.2.5.11,J0059,UFCA,BOTÃO DE COMANDO DUPLO,UN,"R$ 86,51","1,00","R$ 86,51","R$ 105,06",,,,,,
10.2.5.12,J0060,UFCA,CONTACTOR AUXILIAR 2NA + 2NF,UN,"R$ 137,91","2,00","R$ 275,82","R$ 334,98",,,,,,
10.2.5.13,J0062,UFCA,SINALEIRO MONOBLOCO LED 110/220V,UN,"R$ 44,22","2,00","R$ 88,44","R$ 107,41",,,,,,
10.2.5.2,93673,SINAPI,"DISJUNTOR TRIPOLAR TIPO DIN, CORRENTE NOMINAL DE 50A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 76,73","1,00","R$ 76,73","R$ 93,18",,,,,,
10.2.5.3,93653,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 10A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 9,05","2,00","R$ 18,10","R$ 21,98",,,,,,
